,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,NIFTY_FIN_SERVICE.NS,NIFTY_PVT_BANK.NS,^CNX100,^CNXAUTO,^CNXFIN,^CNXFMCG,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXPHARMA,^CNXPSUBANK,^CNXREALTY,^NSEBANK,^NSEI,^NSMIDCP,NIFTY_FIN_SERVICE.NS,NIFTY_PVT_BANK.NS,^CNX100,^CNXAUTO,^CNXFIN,^CNXFMCG,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXPHARMA,^CNXPSUBANK,^CNXREALTY,^NSEBANK,^NSEI,^NSMIDCP,NIFTY_FIN_SERVICE.NS,NIFTY_PVT_BANK.NS,^CNX100,^CNXAUTO,^CNXFIN,^CNXFMCG,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXPHARMA,^CNXPSUBANK,^CNXREALTY,^NSEBANK,^NSEI,^NSMIDCP,NIFTY_FIN_SERVICE.NS,NIFTY_PVT_BANK.NS,^CNX100,^CNXAUTO,^CNXFIN,^CNXFMCG,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXPHARMA,^CNXPSUBANK,^CNXREALTY,^NSEBANK,^NSEI,^NSMIDCP,NIFTY_FIN_SERVICE.NS,NIFTY_PVT_BANK.NS,^CNX100,^CNXAUTO,^CNXFIN,^CNXFMCG,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXPHARMA,^CNXPSUBANK,^CNXREALTY,^NSEBANK,^NSEI,^NSMIDCP
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08 09:15:00+05:30,16454.30078125,19017.55078125,15179.599609375,10617.25,16174.7001953125,33557.3515625,25421.849609375,1763.25,3937.949951171875,12230.75,2396.449951171875,361.3999938964844,35513.8984375,15032.25,35483.30078125,16472.849609375,19043.900390625,15189.5498046875,10630.7001953125,16189.150390625,33573.55078125,25446.75,1763.25,3937.949951171875,12238.150390625,2401.35009765625,361.79998779296875,35581.6015625,15042.7998046875,35504.8515625,16417.30078125,18971.650390625,15141.5498046875,10578.400390625,16135.2998046875,33463.0,25350.599609375,1748.0,3919.300048828125,12214.099609375,2389.449951171875,360.1499938964844,35437.8984375,14991.4501953125,35439.80078125,16432.80078125,18994.25,15151.849609375,10597.7998046875,16150.349609375,33493.1015625,25368.19921875,1749.699951171875,3922.14990234375,12224.2998046875,2389.89990234375,360.1499938964844,35462.44921875,15002.4501953125,35454.8984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:16:00+05:30,16453.650390625,19012.55078125,15176.2001953125,10607.099609375,16165.0498046875,33562.6015625,25392.30078125,1756.550048828125,3925.949951171875,12225.5,2395.050048828125,361.5,35510.69921875,15029.349609375,35468.8984375,16457.849609375,19019.0,15180.2001953125,10619.400390625,16172.900390625,33565.1484375,25421.5,1762.949951171875,3937.800048828125,12233.0,2396.35009765625,361.6499938964844,35520.30078125,15033.400390625,35485.1015625,16416.19921875,18962.25,15152.5,10583.150390625,16127.599609375,33493.8984375,25370.0,1751.699951171875,3922.699951171875,12203.25,2390.85009765625,360.75,35418.55078125,15006.7998046875,35399.1015625,16454.55078125,19016.400390625,15180.2001953125,10619.400390625,16172.650390625,33558.19921875,25421.5,1762.050048828125,3937.800048828125,12231.75,2395.949951171875,361.45001220703125,35511.80078125,15033.400390625,35475.80078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:17:00+05:30,16457.80078125,19013.94921875,15171.7998046875,10595.099609375,16166.099609375,33529.05078125,25367.099609375,1754.6500244140625,3920.5,12231.5,2394.89990234375,361.29998779296875,35516.55078125,15024.5,35466.05078125,16457.80078125,19013.94921875,15172.650390625,10605.75,16166.099609375,33569.0,25382.099609375,1756.5999755859375,3925.0,12234.5498046875,2396.25,361.70001220703125,35516.55078125,15025.0498046875,35472.25,16436.5,18989.400390625,15158.400390625,10581.650390625,16149.9501953125,33505.55078125,25335.150390625,1753.699951171875,3914.800048828125,12220.7001953125,2392.14990234375,361.0,35468.94921875,15010.9501953125,35439.19921875,16443.30078125,19000.80078125,15171.0,10605.75,16165.2001953125,33569.0,25382.099609375,1756.5999755859375,3925.0,12225.4501953125,2394.550048828125,361.54998779296875,35490.1015625,15023.650390625,35464.6484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:18:00+05:30,16477.400390625,19041.650390625,15187.2001953125,10608.150390625,16183.349609375,33518.1484375,25373.400390625,1755.0,3924.39990234375,12226.0498046875,2398.199951171875,361.45001220703125,35568.8984375,15041.25,35478.6015625,16477.400390625,19041.650390625,15187.349609375,10609.349609375,16183.349609375,33529.6484375,25385.44921875,1756.699951171875,3924.5,12232.75,2398.5,361.6000061035156,35568.8984375,15041.7998046875,35478.6015625,16450.55078125,19005.05078125,15165.2001953125,10589.400390625,16155.2001953125,33497.8984375,25354.5,1754.199951171875,3916.800048828125,12220.0,2392.949951171875,361.0,35498.3984375,15018.400390625,35440.6484375,16458.94921875,19012.099609375,15172.5,10595.0,16165.5,33529.6484375,25367.94921875,1754.449951171875,3919.699951171875,12232.5498046875,2394.449951171875,361.3500061035156,35513.1015625,15025.400390625,35464.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:19:00+05:30,16476.849609375,19040.80078125,15190.0,10608.349609375,16182.4501953125,33527.80078125,25375.55078125,1755.800048828125,3932.85009765625,12221.650390625,2395.75,361.8999938964844,35562.5,15043.0498046875,35500.5,16488.400390625,19049.94921875,15193.25,10616.5498046875,16190.349609375,33527.80078125,25375.55078125,1756.800048828125,3934.300048828125,12227.7998046875,2398.64990234375,362.1000061035156,35586.69921875,15047.099609375,35502.80078125,16471.05078125,19029.75,15178.7001953125,10604.849609375,16173.900390625,33493.94921875,25337.30078125,1753.4000244140625,3923.199951171875,12218.599609375,2395.39990234375,361.3999938964844,35546.80078125,15032.599609375,35459.8515625,16476.099609375,19038.5,15184.7001953125,10605.400390625,16181.9501953125,33521.55078125,25355.150390625,1755.5,3923.199951171875,12226.0498046875,2398.300048828125,361.3999938964844,35565.30078125,15038.7001953125,35473.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:20:00+05:30,16454.25,19017.69921875,15170.2998046875,10566.7998046875,16158.599609375,33474.75,25318.25,1754.5999755859375,3932.10009765625,12217.2998046875,2393.35009765625,360.95001220703125,35517.30078125,15025.650390625,35421.5,16484.19921875,19055.75,15193.349609375,10609.2001953125,16188.650390625,33538.0,25374.25,1756.699951171875,3936.0,12225.400390625,2398.89990234375,362.0,35589.5,15047.2001953125,35502.3984375,16454.25,19017.69921875,15170.2998046875,10565.7998046875,16158.599609375,33474.75,25318.25,1753.5999755859375,3931.14990234375,12213.7001953125,2392.64990234375,360.95001220703125,35517.30078125,15025.650390625,35421.1484375,16475.05078125,19038.5,15189.25,10609.150390625,16185.5,33528.69921875,25374.25,1755.75,3931.39990234375,12222.599609375,2396.449951171875,361.8500061035156,35556.6015625,15042.0498046875,35502.3984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:21:00+05:30,16451.900390625,19014.150390625,15168.7998046875,10557.0498046875,16154.5498046875,33483.6015625,25308.400390625,1756.449951171875,3928.85009765625,12208.150390625,2392.10009765625,360.3999938964844,35519.75,15024.349609375,35415.3984375,16464.349609375,19038.150390625,15172.349609375,10565.900390625,16164.5498046875,33483.69921875,25318.349609375,1756.949951171875,3932.75,12217.099609375,2394.199951171875,360.8500061035156,35554.6484375,15027.9501953125,35423.69921875,16442.19921875,19010.80078125,15162.099609375,10548.849609375,16145.5,33461.25,25301.349609375,1753.5999755859375,3925.85009765625,12206.7001953125,2390.449951171875,360.1000061035156,35507.19921875,15017.349609375,35401.6015625,16449.5,19014.900390625,15168.349609375,10565.900390625,16158.150390625,33475.80078125,25315.44921875,1753.8499755859375,3932.14990234375,12217.099609375,2393.25,360.8500061035156,35511.6484375,15023.2998046875,35423.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:22:00+05:30,16457.75,19022.44921875,15175.150390625,10580.9501953125,16164.2998046875,33477.1484375,25308.099609375,1757.5,3938.050048828125,12224.25,2392.449951171875,360.8500061035156,35534.80078125,15029.0,35454.44921875,16458.30078125,19023.0,15175.150390625,10580.9501953125,16164.2998046875,33486.6015625,25310.75,1758.0999755859375,3938.050048828125,12224.25,2393.10009765625,361.0,35535.75,15029.0,35454.44921875,16436.69921875,18989.30078125,15162.150390625,10557.2998046875,16145.7998046875,33463.6015625,25293.650390625,1754.300048828125,3927.60009765625,12207.2998046875,2390.0,360.3500061035156,35477.1484375,15016.5498046875,35412.6015625,16451.349609375,19014.650390625,15169.849609375,10557.650390625,16153.099609375,33484.75,25310.75,1756.5,3928.60009765625,12208.75,2391.89990234375,360.3500061035156,35521.3515625,15025.2998046875,35419.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:23:00+05:30,16460.80078125,19028.900390625,15180.7998046875,10590.5,16172.400390625,33473.80078125,25321.599609375,1760.8499755859375,3946.0,12219.0498046875,2391.550048828125,360.8500061035156,35545.75,15033.900390625,35479.94921875,16461.55078125,19031.150390625,15180.7998046875,10590.5,16173.2998046875,33485.55078125,25321.599609375,1761.199951171875,3946.0,12225.349609375,2392.75,361.0,35548.55078125,15033.900390625,35479.94921875,16446.099609375,19012.900390625,15168.7001953125,10576.599609375,16157.5,33454.55078125,25298.0,1757.3499755859375,3937.449951171875,12211.849609375,2389.800048828125,360.6499938964844,35515.0,15022.150390625,35442.75,16456.400390625,19023.25,15174.25,10580.7998046875,16165.2998046875,33480.5,25309.900390625,1757.75,3938.35009765625,12224.849609375,2392.14990234375,360.8999938964844,35534.3984375,15028.0,35455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:24:00+05:30,16471.05078125,19054.94921875,15184.25,10593.2001953125,16180.2998046875,33466.1484375,25317.849609375,1761.5,3937.300048828125,12215.9501953125,2392.449951171875,360.8999938964844,35588.69921875,15037.4501953125,35484.6484375,16478.05078125,19065.19921875,15190.349609375,10598.599609375,16188.099609375,33472.6484375,25326.94921875,1763.0,3947.0,12223.2001953125,2394.64990234375,361.1000061035156,35609.55078125,15043.900390625,35496.1015625,16455.900390625,19024.30078125,15178.0,10589.5498046875,16168.150390625,33460.55078125,25305.75,1760.550048828125,3936.25,12213.75,2390.550048828125,360.6000061035156,35538.69921875,15031.5,35466.1484375,16459.55078125,19026.30078125,15179.5,10589.5498046875,16174.4501953125,33471.94921875,25320.150390625,1760.550048828125,3945.800048828125,12218.599609375,2391.949951171875,360.8500061035156,35540.3984375,15032.4501953125,35478.94921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08 09:25:00+05:30,16483.25,19072.69921875,15183.400390625,10587.150390625,16191.349609375,33421.94921875,25291.05078125,1760.0,3926.800048828125,12210.349609375,2393.39990234375,360.8500061035156,35621.0,15038.099609375,35460.25,16491.94921875,19084.900390625,15193.599609375,10601.599609375,16200.75,33471.6015625,25323.75,1762.550048828125,3938.75,12216.4501953125,2394.75,361.1000061035156,35640.94921875,15047.150390625,35501.3984375,16472.25,19056.30078125,15182.75,10585.900390625,16182.849609375,33417.19921875,25287.349609375,1759.199951171875,3926.800048828125,12208.75,2392.800048828125,360.75,35591.6015625,15037.400390625,35459.94921875,16472.25,19056.30078125,15184.900390625,10593.0,16182.849609375,33466.8984375,25318.44921875,1761.449951171875,3936.64990234375,12216.150390625,2393.199951171875,360.8500061035156,35591.6015625,15038.2998046875,35483.94921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
